PLUCKING ROUNDS,,,,,
,,,,,
Field Type,VP/SD,Field Extent,PLUCKING ROUNDS,,
,,,2025/26 AS AT AUGUST 2025,2024/25,2023/24
AGROYA DIVISION,,,,,
3A,VP,5.00,15,29,29
3B,VP,4.50,14,31,22
4A,VP,4.00,17,21,30
9G,VP,4.00,9,24,30
9H,VP,4.00,13,30,27
9I,VP,3.50,14,28,34
Division,,25.00,,,
LOWER DANDUKELLEWA DIVISION,,,,,
44,VP,9.50,16,29,19
45,VP,3.75,14,30,32
45A,VP,3.75,5,27,29
46,VP,3.00,16,31,31
47,VP,1.50,15,37,31
50,VP,3.00,10,20,30
51,VP,3.00,12,33,29
52,VP,2.00,16,36,27
52A,VP,2.00,16,36,21
53,VP,2.00,16,37,20
Division,,33.50,,,
LOWER VELLAI OYA DIVISION,,,,,
1,VP,4.00,11,30,17
2,VP,9.00,11,20,27
3,VP,5.00,5,14,25
3B,VP,5.00,11,24,29
5,VP,7.00,11,17,29
5A,VP,7.00,10,23,21
6,VP,6.00,1,23,27
6A,VP,5.00,11,25,33
7,VP,7.00,11,31,21
7A,VP,6.00,12,29,13
8,VP,8.50,13,13,25
9A,VP,5.00,11,28,22
9B,VP,5.00,4,22,29
9C,VP,5.00,10,27,28
9D,VP,5.00,4,26,29
Division,,89.50,,,
UPPER DANDUKELLEWA DIVISION,,,,,
23,VP,7.00,12,31,26
24,VP,5.00,12,31,14
24A,VP,5.00,15,28,20
25,VP,4.00,11,29,24
26,VP,7.50,3,28,36
26A,VP,7.00,12,20,24
27,VP,4.50,14,30,27
27A,VP,5.00,12,29,24
28,SD,4.00,3,23,21
29,VP,4.00,9,34,27
30,VP,4.00,13,34,19
30A,VP,5.00,14,30,23
32,VP,6.00,11,20,25
33,VP,6.00,12,30,24
49,VP,7.00,3,23,29
Division,,81.00,,,
UPPER VELLAI OYA DIVISION,,,,,
11,VP,3.00,13,12,29
12,VP,4.00,7,25,26
13,VP,6.00,12,24,24
13A,VP,4.00,8,24,29
16NC,VP,1.00,  -   ,15,21
17,VP,4.00,2,25,31
18,VP,7.00,10,22,25
18A,VP,3.00,10,30,17
19A,VP,5.00,11,19,26
19B,VP,8.00,9,22,27
19C,VP,5.00,12,13,27
20A,VP,6.00,2,21,26
20B,VP,5.00,13,13,24
20C,VP,5.00,11,16,21
21,VP,6.00,9,23,22
21A,VP,5.00,9,27,15
22,VP,7.00,9,20,26
48,VP,6.50,5,11,25
48A,VP,6.00,4,21,26
Division,,96.50,,,
,,,,,
Estate Total,325.50,,,,