Division,Field_No,Extent,Age_Months,Months_Since_Pruning,Avg_Yield_Last5Y,Yield_per_ha,Yield_Trend,Last_App_Date,Last_Amount,Area_fert,Rounds_2324,Rounds_2425,Rounds_Trend,Rounds_Mean,Rainfall_Mean,Wetdays_Mean
LVO,1,4.0,24.0,30.2,1377.6,509.0,658.4000000000001,2023-09-25,22.0,4.0,17.0,30.0,13.0,23.5,442.77199074074065,15.980555555555556
LVO,2,9.0,17.0,23.7,1137.2,93.66666666666667,-294.20000000000005,2024-04-07,16.0,9.0,27.0,20.0,-7.0,23.5,442.77199074074065,15.980555555555556
LVO,3,5.0,7.0,13.4,1329.8,193.4,-362.79999999999995,2025-02-10,6.0,5.0,25.0,14.0,-11.0,19.5,442.77199074074065,15.980555555555556
LVO,3B,5.0,18.0,24.1,1313.4,224.0,-193.4000000000001,2024-03-26,16.0,5.0,29.0,24.0,-5.0,26.5,442.77199074074065,15.980555555555556
LVO,5,7.0,13.0,19.3,1373.0,137.57142857142858,-410.0,2024-08-19,11.0,7.0,29.0,17.0,-12.0,23.0,442.77199074074065,15.980555555555556
LVO,5A,7.0,18.0,24.1,1195.8,174.28571428571428,24.200000000000045,2024-03-28,16.0,7.0,21.0,23.0,2.0,22.0,442.77199074074065,15.980555555555556
LVO,6,6.0,1.0,7.3,1417.2,252.5,97.79999999999995,2022-02-28,41.0,6.0,27.0,23.0,-4.0,25.0,442.77199074074065,15.980555555555556
LVO,6A,5.0,37.0,43.2,1559.0,317.6,29.0,2022-08-31,35.0,5.0,33.0,25.0,-8.0,29.0,442.77199074074065,15.980555555555556
LVO,7,7.0,25.0,31.5,1476.6,243.71428571428572,229.4000000000001,2023-08-18,24.0,7.0,21.0,31.0,10.0,26.0,442.77199074074065,15.980555555555556
LVO,7A,6.0,24.0,30.6,1403.0,271.3333333333333,225.0,2023-09-13,23.0,6.0,13.0,29.0,16.0,21.0,442.77199074074065,15.980555555555556
LVO,8,8.5,12.0,18.9,1189.2,102.94117647058823,-314.20000000000005,2024-08-29,11.0,8.5,25.0,13.0,-12.0,19.0,442.77199074074065,15.980555555555556
LVO,9A,5.0,30.0,36.2,1353.2,297.6,134.79999999999995,2023-03-31,28.0,5.0,22.0,28.0,6.0,25.0,442.77199074074065,15.980555555555556
LVO,9B,5.0,6.0,12.8,1575.2,306.6,-42.200000000000045,2025-02-28,5.0,5.0,29.0,22.0,-7.0,25.5,442.77199074074065,15.980555555555556
LVO,9C,5.0,30.0,36.5,1269.2,269.8,79.79999999999995,2023-03-20,29.0,5.0,28.0,27.0,-1.0,27.5,442.77199074074065,15.980555555555556
LVO,9D,5.0,42.0,48.7,1389.0,285.6,39.0,2022-03-21,41.0,5.0,29.0,26.0,-3.0,27.5,442.77199074074065,15.980555555555556
LVO,4,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
LVO,4B,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
UVO,11,3.0,12.0,18.9,1566.0,219.33333333333334,-908.0,2024-08-29,11.0,3.0,29.0,12.0,-17.0,20.5,442.77199074074065,15.980555555555556
UVO,12,4.0,43.0,49.5,1267.0,350.0,133.0,2022-02-25,41.0,4.0,26.0,25.0,-1.0,25.5,442.77199074074065,15.980555555555556
UVO,13,6.0,37.0,43.2,1129.2,213.16666666666666,149.79999999999995,2022-08-31,35.0,6.0,24.0,24.0,0.0,24.0,442.77199074074065,15.980555555555556
UVO,13A,4.0,1.0,7.1,1226.6,289.0,-70.59999999999991,2022-05-01,39.0,4.0,29.0,24.0,-5.0,26.5,442.77199074074065,15.980555555555556
UVO,17,4.0,1.0,7.1,1604.8,379.0,-88.79999999999995,2021-08-31,47.0,4.0,31.0,25.0,-6.0,28.0,442.77199074074065,15.980555555555556
UVO,18,7.0,31.0,37.4,1141.0,152.85714285714286,-71.0,2023-02-23,29.0,7.0,25.0,22.0,-3.0,23.5,442.77199074074065,15.980555555555556
UVO,18A,3.0,24.0,30.5,1292.6,555.3333333333334,373.4000000000001,2023-09-18,23.0,3.0,17.0,30.0,13.0,23.5,442.77199074074065,15.980555555555556
UVO,19A,5.0,18.0,24.9,1359.0,247.2,-123.0,2024-03-04,17.0,5.0,26.0,19.0,-7.0,22.5,442.77199074074065,15.980555555555556
UVO,19B,8.0,30.0,36.7,1381.6,162.0,-85.59999999999991,2023-03-15,29.0,8.0,27.0,22.0,-5.0,24.5,442.77199074074065,15.980555555555556
UVO,19C,5.0,13.0,19.9,1166.6,124.4,-544.5999999999999,2024-08-01,12.0,5.0,27.0,13.0,-14.0,20.0,442.77199074074065,15.980555555555556
UVO,20A,6.0,5.0,11.9,1198.4,169.66666666666666,-180.4000000000001,2022-03-28,40.0,6.0,26.0,21.0,-5.0,23.5,442.77199074074065,15.980555555555556
UVO,20B,5.0,12.0,18.5,1059.6,123.2,-443.5999999999999,2024-09-11,11.0,5.0,24.0,13.0,-11.0,18.5,442.77199074074065,15.980555555555556
UVO,20C,5.0,17.0,23.2,1017.6,141.6,-309.6,2024-04-24,15.0,5.0,21.0,16.0,-5.0,18.5,442.77199074074065,15.980555555555556
UVO,21,6.0,31.0,37.3,1262.8,215.0,27.200000000000045,2023-02-26,29.0,6.0,22.0,23.0,1.0,22.5,442.77199074074065,15.980555555555556
UVO,21A,5.0,24.0,31.1,1712.0,361.6,96.0,2023-08-31,23.0,5.0,15.0,27.0,12.0,21.0,442.77199074074065,15.980555555555556
UVO,22,7.0,18.0,24.4,1532.0,186.71428571428572,-225.0,2024-03-18,17.0,7.0,26.0,20.0,-6.0,23.0,442.77199074074065,15.980555555555556
UVO,48,6.5,7.0,13.6,966.4,88.92307692307692,-388.4,2025-02-05,6.0,6.5,25.0,11.0,-14.0,18.0,442.77199074074065,15.980555555555556
UVO,48A,6.0,6.0,12.8,1102.4,177.5,-37.40000000000009,2025-02-28,5.0,6.0,26.0,21.0,-5.0,23.5,442.77199074074065,15.980555555555556
UVO,16NC,1.0,30.0,36.1,655.5,640.0,-15.5,2023-04-01,28.0,1.0,21.0,15.0,-6.0,18.0,442.77199074074065,15.980555555555556
UVO,16,5.0,18.0,24.7,70.0,286.6,0.0,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
UVO,10,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
UVO,14,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
UVO,16A,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
UDK,23,7.0,36.0,42.8,1680.0,240.42857142857142,3.0,2022-09-12,35.0,7.0,26.0,31.0,5.0,28.5,442.77199074074065,15.980555555555556
UDK,24,5.0,24.0,30.5,1437.6,331.2,218.4000000000001,2023-09-17,23.0,5.0,14.0,31.0,17.0,22.5,442.77199074074065,15.980555555555556
UDK,24A,5.0,18.0,24.7,1580.0,286.6,-147.0,2024-03-08,17.0,5.0,20.0,28.0,8.0,24.0,442.77199074074065,15.980555555555556
UDK,25,4.0,17.0,24.0,1829.4,486.25,115.59999999999991,2024-03-31,16.0,4.0,24.0,29.0,5.0,26.5,442.77199074074065,15.980555555555556
UDK,26,7.5,6.0,12.8,1534.8,176.4,-211.79999999999995,2025-02-28,5.0,7.5,36.0,28.0,-8.0,32.0,442.77199074074065,15.980555555555556
UDK,26A,7.0,17.0,23.1,1303.4,133.71428571428572,-367.4000000000001,2024-04-27,15.0,7.0,24.0,20.0,-4.0,22.0,442.77199074074065,15.980555555555556
UDK,27,4.5,37.0,43.2,1944.6,398.22222222222223,-152.5999999999999,2022-08-31,35.0,4.5,27.0,30.0,3.0,28.5,442.77199074074065,15.980555555555556
UDK,27A,5.0,1.0,7.1,1517.4,308.6,25.59999999999991,2022-04-08,40.0,5.0,24.0,29.0,5.0,26.5,442.77199074074065,15.980555555555556
UDK,29,4.0,1.0,7.2,1874.4,518.75,200.5999999999999,2022-02-26,41.0,4.0,27.0,34.0,7.0,30.5,442.77199074074065,15.980555555555556
UDK,30,4.0,25.0,31.2,1970.8,547.25,218.20000000000005,2023-08-26,23.0,4.0,19.0,34.0,15.0,26.5,442.77199074074065,15.980555555555556
UDK,30A,5.0,31.0,37.3,1627.8,389.0,317.20000000000005,2023-02-25,29.0,5.0,23.0,30.0,7.0,26.5,442.77199074074065,15.980555555555556
UDK,32,6.0,13.0,19.1,1302.6,168.16666666666666,-293.5999999999999,2024-08-24,11.0,6.0,25.0,20.0,-5.0,22.5,442.77199074074065,15.980555555555556
UDK,33,6.0,30.0,36.6,2196.8,332.5,-201.80000000000018,2023-03-19,29.0,6.0,24.0,30.0,6.0,27.0,442.77199074074065,15.980555555555556
UDK,49,7.0,7.0,13.4,1677.4,204.42857142857142,-246.4000000000001,2025-02-10,6.0,7.0,29.0,23.0,-6.0,26.0,442.77199074074065,15.980555555555556
UDK,28,4.0,31.0,37.5,1301.0,295.5,-119.0,2023-02-20,29.0,4.0,21.0,23.0,2.0,22.0,442.77199074074065,15.980555555555556
LDK,44,9.5,18.0,24.2,1307.0,150.21052631578948,120.0,2024-03-23,16.0,9.5,19.0,29.0,10.0,24.0,442.77199074074065,15.980555555555556
LDK,45,3.75,36.0,42.9,1847.6,431.2,-230.5999999999999,2022-09-09,35.0,3.75,32.0,30.0,-2.0,31.0,442.77199074074065,15.980555555555556
LDK,45A,3.75,6.0,12.8,1461.4,372.26666666666665,-65.40000000000009,2025-02-28,5.0,3.75,29.0,27.0,-2.0,28.0,442.77199074074065,15.980555555555556
LDK,46,3.0,31.0,37.2,1858.0,532.0,-262.0,2023-02-28,29.0,3.0,31.0,31.0,0.0,31.0,442.77199074074065,15.980555555555556
LDK,47,1.5,31.0,37.2,2024.0,1334.0,-23.0,2023-02-28,29.0,1.5,31.0,37.0,6.0,34.0,442.77199074074065,15.980555555555556
LDK,50,3.0,12.0,18.9,1646.2,357.3333333333333,-574.2,2024-08-31,11.0,3.0,30.0,20.0,-10.0,25.0,442.77199074074065,15.980555555555556
LDK,51,3.0,1.0,6.9,1899.0,567.0,-198.0,2021-08-31,47.0,3.0,29.0,33.0,4.0,31.0,442.77199074074065,15.980555555555556
LDK,52,2.0,30.0,36.6,2071.8,1088.5,105.19999999999982,2023-03-19,29.0,2.0,27.0,36.0,9.0,31.5,442.77199074074065,15.980555555555556
LDK,52A,2.0,25.0,31.2,1903.2,934.5,-34.200000000000045,2023-08-27,23.0,2.0,21.0,36.0,15.0,28.5,442.77199074074065,15.980555555555556
LDK,53,2.0,24.0,30.2,1761.2,948.0,134.79999999999995,2023-09-25,22.0,2.0,20.0,37.0,17.0,28.5,442.77199074074065,15.980555555555556
AGO,3A,5.0,31.0,37.7,1278.0,291.8,181.0,2023-02-12,30.0,5.0,29.0,29.0,0.0,29.0,442.77199074074065,15.980555555555556
AGO,3B,4.5,25.0,31.5,1176.2,296.8888888888889,159.79999999999995,2023-08-18,24.0,4.5,22.0,31.0,9.0,26.5,442.77199074074065,15.980555555555556
AGO,4A,4.0,12.0,18.9,1356.8,235.75,-413.79999999999995,2024-08-31,11.0,4.0,30.0,21.0,-9.0,25.5,442.77199074074065,15.980555555555556
AGO,9G,4.0,7.0,13.7,1314.2,280.25,-193.20000000000005,2025-02-02,6.0,4.0,30.0,24.0,-6.0,27.0,442.77199074074065,15.980555555555556
AGO,9H,4.0,18.0,24.3,1031.2,306.25,193.79999999999995,2024-03-21,16.0,4.0,27.0,30.0,3.0,28.5,442.77199074074065,15.980555555555556
AGO,9I,3.5,36.0,42.6,1177.6,384.57142857142856,168.4000000000001,2022-09-19,35.0,3.5,34.0,28.0,-6.0,31.0,442.77199074074065,15.980555555555556
